row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,eating_daytime,eating_daytime_price,eating_daytime_quality,eating_daytime_variety,eating_nighttime,eating_nighttime_price,eating_nighttime_quality,eating_nighttime_variety,source,day
95,3835,SALA THAMMASOP,ศาลาธรรมสพน์,3833,THAWI WATTHANA,ทวีวัฒนา,3781,Bangkok,กรุงเทพมหานคร,67.0,79.0,63.0,56.0,63.0,71.0,59.0,62.0,baania,2022-10-31
17,3602,BANG KHAYAENG,บางขะแยง,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,57.0,74.0,40.0,67.0,53.0,65.0,35.0,58.0,baania,2022-10-31
11,3793,SAI KONG DIN TAI,ทรายกองดินใต้,3791,KHLONG SAM WA,คลองสามวา,3781,Bangkok,กรุงเทพมหานคร,50.0,72.0,32.0,50.0,49.0,65.0,22.0,57.0,baania,2022-10-31
203,3652,CHIANG RAK YAI,เชียงรากใหญ่,3647,SAM KHOK,สามโคก,3599,Pathum Thani,ปทุมธานี,41.0,28.0,38.0,71.0,47.0,31.0,33.0,64.0,baania,2022-10-31
185,3442,BAN LAENG,บ้านแลง,3432,MUEANG RAYONG,เมืองระยอง,3431,Rayong,ระยอง,55.0,70.0,54.0,32.0,41.0,40.0,38.0,45.0,baania,2022-10-31
267,4674,NA PRADU,หน้าประดู่,4663,PHAN THONG,พานทอง,4616,Chon Buri,ชลบุรี,37.0,43.0,36.0,30.0,41.0,31.0,36.0,49.0,baania,2022-10-31
480,3885,BANG O,บางอ้อ,3881,BANG PHLAT,บางพลัด,3781,Bangkok,กรุงเทพมหานคร,66.0,88.0,50.0,63.0,70.0,81.0,51.0,75.0,baania,2022-10-31
8,4620,NA PA,นาป่า,4617,MUEANG CHON BURI,เมืองชลบุรี,4616,Chon Buri,ชลบุรี,58.0,70.0,51.0,53.0,45.0,42.0,40.0,49.0,baania,2022-10-31
112,1199,SAN KLANG,สันกลาง,1188,SAN PA TONG,สันป่าตอง,1005,Chiang Mai,เชียงใหม่,25.0,32.0,17.0,30.0,33.0,47.0,38.0,22.0,baania,2022-10-31
176,3967,KHLONG TOEI NUEA,คลองเตยเหนือ,3965,VADHANA,วัฒนา,3781,Bangkok,กรุงเทพมหานคร,70.0,57.0,67.0,98.0,79.0,57.0,68.0,98.0,baania,2022-10-31
516,3472,MAKHAM KHU,มะขามคู่,3469,NIKHOM PHATTHANA,นิคมพัฒนา,3431,Rayong,ระยอง,31.0,53.0,10.0,39.0,29.0,45.0,10.0,32.0,baania,2022-10-31
250,3683,LAM PHAYA,ลำพยา,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,71.0,74.0,69.0,74.0,65.0,60.0,60.0,71.0,baania,2022-10-31
513,3677,BANG KHAEM,บางแขม,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,48.0,62.0,39.0,42.0,37.0,49.0,31.0,34.0,baania,2022-10-31
